Time,Switch,Interface,Sent,Received
1582205040.320237,1,0,0,0
1582205040.320237,1,65533,0,0
1582205040.320237,1,65534,0,0
1582205040.320237,1,65531,0,0
1582205040.320237,1,4294967293,2,0
1582205040.320237,1,4294967291,0,0
1582205040.320237,1,1,0,0
1582205040.320237,1,2,0,0
1582205040.320237,1,4,0,0
1582205040.320237,1,5,0,0
1582205040.320237,1,3,0,0
1582205040.703166,2,0,0,0
1582205040.703166,2,65533,0,0
1582205040.703166,2,65534,0,0
1582205040.703166,2,65531,0,0
1582205040.703166,2,4294967293,1,0
1582205040.703166,2,4294967291,0,0
1582205040.703166,2,1,0,0
1582205040.703166,2,2,0,0
1582205040.703166,2,3,0,0
1582205041.210378,3,0,0,0
1582205041.210378,3,65533,0,0
1582205041.210378,3,65534,0,0
1582205041.210378,3,65531,0,0
1582205041.210378,3,4294967293,2,0
1582205041.210378,3,4294967291,0,0
1582205041.210378,3,1,0,0
1582205041.210378,3,2,0,0
1582205041.210378,3,4,0,0
1582205041.210378,3,5,0,0
1582205041.210378,3,3,0,0
1582205041.199465,4,0,0,0
1582205041.199465,4,65533,0,0
1582205041.199465,4,65534,0,0
1582205041.199465,4,65531,0,0
1582205041.199465,4,4294967293,5,0
1582205041.199465,4,4294967291,0,0
1582205041.199465,4,1,0,0
1582205041.199465,4,2,0,0
1582205041.199465,4,3,0,0
1582205040.542269,5,0,0,0
1582205040.542269,5,65533,0,0
1582205040.542269,5,65534,0,0
1582205040.542269,5,65531,0,0
1582205040.542269,5,4294967293,4,0
1582205040.542269,5,4294967291,0,0
1582205040.542269,5,4,0,0
1582205040.542269,5,1,0,0
1582205040.542269,5,2,0,0
1582205040.542269,5,3,0,0
1582205040.951718,6,0,0,0
1582205040.951718,6,65533,0,0
1582205040.951718,6,65534,0,0
1582205040.951718,6,65531,0,0
1582205040.951718,6,4294967293,7,0
1582205040.951718,6,4294967291,0,0
1582205040.951718,6,1,0,0
1582205040.951718,6,2,0,0
1582205040.951718,6,3,0,0
1582205040.34451,8,0,0,0
1582205040.34451,8,65533,0,0
1582205040.34451,8,65534,0,0
1582205040.34451,8,65531,0,0
1582205040.34451,8,4294967293,2,0
1582205040.34451,8,4294967291,0,0
1582205040.34451,8,1,0,0
1582205040.34451,8,2,0,0
1582205040.50485,9,0,0,0
1582205040.50485,9,65533,0,0
1582205040.50485,9,65534,0,0
1582205040.50485,9,65531,0,0
1582205040.50485,9,4294967293,3,0
1582205040.50485,9,4294967291,0,0
1582205040.50485,9,1,0,0
1582205040.50485,9,2,0,0
1582205040.719537,10,0,0,0
1582205040.719537,10,65533,0,0
1582205040.719537,10,65534,0,0
1582205040.719537,10,65531,0,0
1582205040.719537,10,4294967293,3,0
1582205040.719537,10,4294967291,0,0
1582205040.719537,10,1,0,0
1582205040.719537,10,2,0,0
1582205040.562179,11,0,0,0
1582205040.562179,11,65533,0,0
1582205040.562179,11,65534,0,0
1582205040.562179,11,65531,0,0
1582205040.562179,11,4294967293,3,0
1582205040.562179,11,4294967291,0,0
1582205040.562179,11,1,0,0
1582205040.562179,11,2,0,0
1582205041.185721,12,0,0,0
1582205041.185721,12,65533,0,0
1582205041.185721,12,65534,0,0
1582205041.185721,12,65531,0,0
1582205041.185721,12,4294967293,6,0
1582205041.185721,12,4294967291,0,0
1582205041.185721,12,1,0,0
1582205041.185721,12,2,0,0
1582205040.968086,13,0,0,0
1582205040.968086,13,65533,0,0
1582205040.968086,13,65534,0,0
1582205040.968086,13,65531,0,0
1582205040.968086,13,4294967293,6,0
1582205040.968086,13,4294967291,0,0
1582205040.968086,13,1,0,0
1582205040.968086,13,2,0,0
1582205041.111763,14,0,0,0
1582205041.111763,14,65533,0,0
1582205041.111763,14,65534,0,0
1582205041.111763,14,65531,0,0
1582205041.111763,14,4294967293,7,0
1582205041.111763,14,4294967291,0,0
1582205041.111763,14,1,0,0
1582205041.111763,14,2,0,0
1582205040.933561,15,0,0,0
1582205040.933561,15,65533,0,0
1582205040.933561,15,65534,0,0
1582205040.933561,15,65531,0,0
1582205040.933561,15,4294967293,7,0
1582205040.933561,15,4294967291,0,0
1582205040.933561,15,1,0,0
1582205040.933561,15,2,0,0
1582205040.579683,16,0,0,0
1582205040.579683,16,65533,0,0
1582205040.579683,16,65534,0,0
1582205040.579683,16,65531,0,0
1582205040.579683,16,4294967293,5,0
1582205040.579683,16,4294967291,0,0
1582205040.579683,16,1,0,0
1582205040.579683,16,2,0,0
1582205040.90407,17,0,0,0
1582205040.90407,17,65533,0,0
1582205040.90407,17,65534,0,0
1582205040.90407,17,65531,0,0
1582205040.90407,17,4294967293,6,0
1582205040.90407,17,4294967291,0,0
1582205040.90407,17,1,0,0
1582205040.90407,17,2,0,0
1582205042.350757,1,0,0,0
1582205042.350757,1,65533,0,0
1582205042.350757,1,65534,0,0
1582205042.350757,1,65531,0,0
1582205042.350757,1,4294967293,10,0
1582205042.350757,1,4294967291,0,0
1582205042.350757,1,1,0,0
1582205042.350757,1,2,0,0
1582205042.350757,1,4,0,0
1582205042.350757,1,5,0,0
1582205042.350757,1,3,0,0
1582205042.764273,2,0,0,0
1582205042.764273,2,65533,0,0
1582205042.764273,2,65534,0,0
1582205042.764273,2,65531,0,0
1582205042.764273,2,4294967293,11,0
1582205042.764273,2,4294967291,0,0
1582205042.764273,2,1,0,0
1582205042.764273,2,2,0,0
1582205042.764273,2,3,0,0
1582205043.190976,3,0,0,0
1582205043.190976,3,65533,0,0
1582205043.190976,3,65534,0,0
1582205043.190976,3,65531,0,0
1582205043.190976,3,4294967293,8,0
1582205043.190976,3,4294967291,0,0
1582205043.190976,3,1,0,0
1582205043.190976,3,2,0,0
1582205043.190976,3,4,0,0
1582205043.190976,3,5,0,0
1582205043.190976,3,3,0,0
1582205043.249821,4,0,0,0
1582205043.249821,4,65533,0,0
1582205043.249821,4,65534,0,0
1582205043.249821,4,65531,0,0
1582205043.249821,4,4294967293,12,0
1582205043.249821,4,4294967291,0,0
1582205043.249821,4,1,0,0
1582205043.249821,4,2,0,0
1582205043.249821,4,3,0,0
1582205042.577348,5,0,0,0
1582205042.577348,5,65533,0,0
1582205042.577348,5,65534,0,0
1582205042.577348,5,65531,0,0
1582205042.577348,5,4294967293,16,0
1582205042.577348,5,4294967291,0,0
1582205042.577348,5,4,0,0
1582205042.577348,5,1,0,0
1582205042.577348,5,2,0,0
1582205042.577348,5,3,0,0
1582205043.009626,6,0,0,0
1582205043.009626,6,65533,0,0
1582205043.009626,6,65534,0,0
1582205043.009626,6,65531,0,0
1582205043.009626,6,4294967293,14,0
1582205043.009626,6,4294967291,0,0
1582205043.009626,6,1,0,0
1582205043.009626,6,2,0,0
1582205043.009626,6,3,0,0
1582205042.366749,8,0,0,0
1582205042.366749,8,65533,0,0
1582205042.366749,8,65534,0,0
1582205042.366749,8,65531,0,0
1582205042.366749,8,4294967293,12,0
1582205042.366749,8,4294967291,0,0
1582205042.366749,8,1,0,0
1582205042.366749,8,2,0,0
1582205042.553373,9,0,0,0
1582205042.553373,9,65533,0,0
1582205042.553373,9,65534,0,0
1582205042.553373,9,65531,0,0
1582205042.553373,9,4294967293,14,0
1582205042.553373,9,4294967291,0,0
1582205042.553373,9,1,0,0
1582205042.553373,9,2,0,0
1582205042.792193,10,0,0,0
1582205042.792193,10,65533,0,0
1582205042.792193,10,65534,0,0
1582205042.792193,10,65531,0,0
1582205042.792193,10,4294967293,12,0
1582205042.792193,10,4294967291,0,0
1582205042.792193,10,1,0,0
1582205042.792193,10,2,0,0
1582205042.588468,11,0,0,0
1582205042.588468,11,65533,0,0
1582205042.588468,11,65534,0,0
1582205042.588468,11,65531,0,0
1582205042.588468,11,4294967293,15,0
1582205042.588468,11,4294967291,0,0
1582205042.588468,11,1,0,0
1582205042.588468,11,2,0,0
1582205043.208658,12,0,0,0
1582205043.208658,12,65533,0,0
1582205043.208658,12,65534,0,0
1582205043.208658,12,65531,0,0
1582205043.208658,12,4294967293,9,0
1582205043.208658,12,4294967291,0,0
1582205043.208658,12,1,0,0
1582205043.208658,12,2,0,0
1582205043.023863,13,0,0,0
1582205043.023863,13,65533,0,0
1582205043.023863,13,65534,0,0
1582205043.023863,13,65531,0,0
1582205043.023863,13,4294967293,11,0
1582205043.023863,13,4294967291,0,0
1582205043.023863,13,1,0,0
1582205043.023863,13,2,0,0
1582205043.16124,14,0,0,0
1582205043.16124,14,65533,0,0
1582205043.16124,14,65534,0,0
1582205043.16124,14,65531,0,0
1582205043.16124,14,4294967293,15,0
1582205043.16124,14,4294967291,0,0
1582205043.16124,14,1,0,0
1582205043.16124,14,2,0,0
1582205043.034667,15,0,0,0
1582205043.034667,15,65533,0,0
1582205043.034667,15,65534,0,0
1582205043.034667,15,65531,0,0
1582205043.034667,15,4294967293,16,0
1582205043.034667,15,4294967291,0,0
1582205043.034667,15,1,0,0
1582205043.034667,15,2,0,0
1582205042.600894,16,0,0,0
1582205042.600894,16,65533,0,0
1582205042.600894,16,65534,0,0
1582205042.600894,16,65531,0,0
1582205042.600894,16,4294967293,17,0
1582205042.600894,16,4294967291,0,0
1582205042.600894,16,1,0,0
1582205042.600894,16,2,0,0
1582205042.971343,17,0,0,0
1582205042.971343,17,65533,0,0
1582205042.971343,17,65534,0,0
1582205042.971343,17,65531,0,0
1582205042.971343,17,4294967293,15,0
1582205042.971343,17,4294967291,0,0
1582205042.971343,17,1,0,0
1582205042.971343,17,2,0,0
1582205044.444686,1,0,0,0
1582205044.444686,1,65533,0,0
1582205044.444686,1,65534,0,0
1582205044.444686,1,65531,0,0
1582205044.444686,1,4294967293,21,0
1582205044.444686,1,4294967291,0,0
1582205044.444686,1,1,0,0
1582205044.444686,1,2,0,0
1582205044.444686,1,4,0,0
1582205044.444686,1,5,0,0
1582205044.444686,1,3,0,0
1582205044.855919,2,0,0,0
1582205044.855919,2,65533,0,0
1582205044.855919,2,65534,0,0
1582205044.855919,2,65531,0,0
1582205044.855919,2,4294967293,21,0
1582205044.855919,2,4294967291,0,0
1582205044.855919,2,1,0,0
1582205044.855919,2,2,0,0
1582205044.855919,2,3,0,0
1582205045.322599,3,0,0,0
1582205045.322599,3,65533,0,0
1582205045.322599,3,65534,0,0
1582205045.322599,3,65531,0,0
1582205045.322599,3,4294967293,16,0
1582205045.322599,3,4294967291,0,0
1582205045.322599,3,1,0,0
1582205045.322599,3,2,0,0
1582205045.322599,3,4,0,0
1582205045.322599,3,5,0,0
1582205045.322599,3,3,0,0
1582205045.337567,4,0,0,0
1582205045.337567,4,65533,0,0
1582205045.337567,4,65534,0,0
1582205045.337567,4,65531,0,0
1582205045.337567,4,4294967293,18,0
1582205045.337567,4,4294967291,0,0
1582205045.337567,4,1,0,0
1582205045.337567,4,2,0,0
1582205045.337567,4,3,0,0
1582205044.72412,5,0,0,0
1582205044.72412,5,65533,0,0
1582205044.72412,5,65534,0,0
1582205044.72412,5,65531,0,0
1582205044.72412,5,4294967293,26,0
1582205044.72412,5,4294967291,0,0
1582205044.72412,5,4,0,0
1582205044.72412,5,1,0,0
1582205044.72412,5,2,0,0
1582205044.72412,5,3,0,0
1582205045.1048,6,0,0,0
1582205045.1048,6,65533,0,0
1582205045.1048,6,65534,0,0
1582205045.1048,6,65531,0,0
1582205045.1048,6,4294967293,29,0
1582205045.1048,6,4294967291,0,0
1582205045.1048,6,1,0,0
1582205045.1048,6,2,0,0
1582205045.1048,6,3,0,0
1582205044.461714,8,0,0,0
1582205044.461714,8,65533,0,0
1582205044.461714,8,65534,0,0
1582205044.461714,8,65531,0,0
1582205044.461714,8,4294967293,22,0
1582205044.461714,8,4294967291,0,0
1582205044.461714,8,1,0,0
1582205044.461714,8,2,0,0
1582205044.677368,9,0,0,0
1582205044.677368,9,65533,0,0
1582205044.677368,9,65534,0,0
1582205044.677368,9,65531,0,0
1582205044.677368,9,4294967293,25,0
1582205044.677368,9,4294967291,0,0
1582205044.677368,9,1,0,0
1582205044.677368,9,2,0,0
1582205044.84331,10,0,0,0
1582205044.84331,10,65533,0,0
1582205044.84331,10,65534,0,0
1582205044.84331,10,65531,0,0
1582205044.84331,10,4294967293,22,0
1582205044.84331,10,4294967291,0,0
1582205044.84331,10,1,0,0
1582205044.84331,10,2,0,0
1582205044.736501,11,0,0,0
1582205044.736501,11,65533,0,0
