0,1,2
1,2,1
2,3,2
3,4,5
4,5,4
5,6,7
6,8,2
7,9,3
8,10,3
9,11,3
10,12,6
11,13,6
12,14,7
13,15,7
14,16,5
15,17,6
16,1,10
17,2,11
18,3,8
19,4,12
20,5,16
21,6,14
22,8,12
23,9,14
24,10,12
25,11,15
26,12,9
27,13,11
28,14,15
29,15,16
30,16,17
31,17,15
32,1,21
33,2,21
34,3,16
35,4,18
36,5,26
37,6,29
38,8,22
39,9,25
40,10,22
41,11,25
42,12,26
43,13,28
44,14,26
45,15,29
46,16,27
47,17,30
48,1,37
49,2,32
50,3,32
51,4,30
52,5,37
53,6,34
54,8,37
55,9,37
56,10,35
57,11,38
58,12,35
59,13,33
60,14,34
61,15,35
62,16,37
63,17,35
64,1,39
65,2,39
66,3,37
67,4,35
68,5,40
69,6,43
70,8,39
71,9,40
72,10,39
73,11,40
74,12,42
75,13,43
76,14,40
77,15,44
78,16,40
79,17,43
80,1,43
81,2,40
82,3,43
83,4,44
84,5,43
85,6,43
86,8,43
87,9,43
88,10,43
89,11,43
90,12,43
91,13,43
92,14,44
93,15,44
94,16,43
95,17,43
96,1,43
97,2,43
98,3,43
99,4,44
100,5,43
101,6,43
102,8,43
103,9,43
104,10,43
105,11,43
106,12,43
107,13,43
108,14,44
109,15,44
110,16,43
111,17,43
112,1,43
113,2,43
114,3,43
115,4,44
116,5,43
117,6,43
118,8,43
119,9,43
120,10,43
121,11,43
122,12,43
123,13,43
124,14,44
125,15,44
126,16,43
127,17,43
128,1,43
129,2,43
130,3,43
131,4,44
132,5,43
133,6,43
134,8,43
135,9,43
136,10,43
137,11,43
138,12,43
139,13,43
140,14,44
141,15,44
142,16,43
143,17,43
144,1,43
145,2,43
146,3,43
147,4,44
148,5,43
149,6,43
150,8,43
151,9,43
152,10,43
153,11,43
154,12,43
155,13,43
156,14,44
157,15,44
158,16,43
159,17,43
160,1,43
161,2,43
162,3,43
163,4,44
164,5,43
165,6,43
166,8,43
167,9,43
168,10,43
169,11,43
170,12,43
171,13,43
172,14,44
173,15,44
174,16,43
175,17,43
176,1,43
177,2,43
178,3,43
179,4,44
180,5,43
181,6,43
182,8,43
183,9,43
184,10,43
185,11,43
186,12,43
187,13,43
188,14,44
189,15,44
190,16,43
191,17,43
192,1,43
193,2,43
194,3,43
195,4,44
196,5,43
197,6,45
198,8,43
199,9,43
200,10,43
201,11,43
202,12,43
203,13,44
204,14,45
205,15,45
206,16,44
207,17,45
208,1,44
209,2,44
210,3,45
211,4,47
212,5,45
213,6,45
214,8,44
215,9,45
216,10,45
217,11,45
218,12,45
219,13,45
220,14,47
221,15,46
222,16,46
223,17,45
224,1,46
225,2,44
226,3,45
227,4,47
228,5,47
229,6,48
230,8,46
231,9,46
232,10,46
233,11,46
234,12,46
235,13,47
236,14,48
237,15,48
238,16,48
239,17,49
240,1,50
241,2,48
242,3,48
243,4,50
244,5,50
245,6,52
246,8,50
247,9,50
248,10,50
249,11,50
250,12,50
251,13,50
252,14,52
253,15,52
254,16,51
255,17,53
256,1,54
257,2,53
258,3,53
259,4,57
260,5,55
261,6,56
262,8,54
263,9,53
264,10,55
265,11,54
266,12,55
267,13,57
268,14,58
269,15,58
270,16,55
271,17,57
272,1,59
273,2,59
274,3,58
275,4,60
276,5,62
277,6,64
278,8,59
279,9,58
280,10,60
281,11,59
282,12,61
283,13,64
284,14,63
285,15,65
286,16,62
287,17,65
288,1,69
289,2,69
290,3,63
291,4,66
292,5,70
293,6,69
294,8,70
295,9,70
296,10,70
297,11,69
298,12,65
299,13,67
300,14,67
301,15,69
302,16,70
303,17,71
304,1,75
305,2,75
306,3,68
307,4,71
308,5,77
309,6,74
310,8,76
311,9,76
312,10,76
313,11,76
314,12,72
315,13,73
316,14,73
317,15,74
318,16,77
319,17,77
320,1,79
321,2,80
322,3,75
323,4,75
324,5,80
325,6,79
326,8,80
327,9,80
328,10,80
329,11,80
330,12,79
331,13,78
332,14,79
333,15,79
334,16,81
335,17,81
336,1,83
337,2,83
338,3,82
339,4,81
340,5,83
341,6,84
342,8,83
343,9,83
344,10,83
345,11,83
346,12,84
347,13,83
348,14,84
349,15,84
350,16,83
351,17,85
352,1,85
353,2,85
354,3,86
355,4,85
356,5,85
357,6,87
358,8,85
359,9,85
360,10,85
361,11,85
362,12,87
363,13,87
364,14,88
365,15,88
366,16,85
367,17,87
368,1,87
369,2,87
370,3,87
371,4,88
372,5,87
373,6,87
374,8,87
375,9,87
376,10,87
377,11,87
378,12,87
379,13,87
380,14,88
381,15,88
382,16,87
383,17,87
384,1,87
385,2,87
386,3,87
387,4,88
388,5,87
389,6,87
390,8,87
391,9,87
392,10,87
393,11,87
394,12,87
395,13,87
396,14,88
397,15,88
398,16,87
399,17,87
400,1,87
401,2,87
402,3,87
403,4,88
404,5,87
405,6,87
406,8,87
407,9,87
408,10,87
409,11,87
410,12,87
411,13,87
412,14,88
413,15,88
414,16,87
415,17,87
416,1,87
417,2,87
418,3,87
419,4,88
420,5,87
421,6,87
422,8,87
423,9,87
424,10,87
425,11,87
426,12,87
427,13,87
428,14,88
429,15,88
430,16,87
431,17,87
432,1,87
433,2,87
434,3,87
435,4,88
436,5,87
437,6,87
438,8,87
439,9,87
440,10,87
441,11,87
442,12,87
443,13,87
444,14,88
445,15,88
446,16,87
447,17,87
448,1,87
449,2,87
450,3,87
451,4,88
452,5,87
453,6,87
454,8,87
455,9,87
456,10,87
457,11,87
458,12,87
459,13,87
460,14,88
461,15,88
462,16,87
463,17,87
464,1,87
465,2,87
466,3,87
467,4,88
468,5,87
469,6,87
470,8,87
471,9,87
472,10,87
473,11,87
474,12,87
475,13,87
476,14,88
477,15,88
478,16,87
479,17,87
480,1,87
481,2,87
482,3,87
483,4,88
